eventid,region,summary,success,suicide,attacktype,targtype,target,gname,weaptype,weapsubtype,site,target
1061,Middle East & North Africa," Assailants fired an anti-tank missile at a civilian vehicle in Sderot, Southern, Israel. One civilian was injured in the attack. Palestinian Islamic Jihad (PIJ) claimed responsibility for the incident.",1,0,Bombing/Explosion,Private Citizens & Property,Vehicle,Palestinian Islamic Jihad (PIJ),Explosives,"Projectile (rockets, mortars, RPGs, etc.)","""Israel carried out airstrikes in Palestinian territory after militants in Gaza fired a barrage of rockets at Jerusalem,"" Online Nigeria News, May 10, 2021.",1
2310,Sub-Saharan Africa," An explosive device detonated targeting electoral workers in Diffa, Niger. A polling station head was killed and nine other electoral workers were killed in the blast. No group claimed responsibility for the incident.",1,0,Bombing/Explosion,Government (General),Poll Workers,Unknown,Explosives,Unknown Explosive Type,"""Mohamed Bazoum declared Nigers new president,"" GhHeadlines, February 24, 2021.",1
4228,Sub-Saharan Africa," Assailants attacked Professor Godswill Obioma, the registrar of the National Examinations Council (NECO) at his residence in Minna, Niger, Nigeria. Obioma was strangled to death in the attack. No group claimed responsibility for the incident.",1,0,Assassination,Educational Institution,Register: Professor Godswill Obioma,Unknown,Melee,Rope or Other Strangling Device,"""OBITUARY | 2 Days after Gulak was Killed in Owerri, NECO Registrar, Obioma, Murdered in Minna,"" Metro Watch Online, June 1, 2021.",1
964,Middle East & North Africa," Assailants attacked the third division of federal police in Riyadh, Kirkuk, Iraq. There were an unknown number of casualties in the attack. This was one of two related attacks in this area on this date. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",1,0,Armed Assault,Police,Paramilitary Police Officers,Islamic State of Iraq and the Levant (ISIL),Firearms,Unknown Gun Type,"""Kurdistan PM says ISIS still 'serious threat,' calls for security cooperation after attack near disputed territory Prime Minister Masrour Barzani stressed the importance of continued International Coalition forces presence in Iraq to support the fight aga,"" Kurdistan 24, May 1, 2021.",1
3165,South Asia," An explosive device detonated near a tank in Khwaja Sabz Posh district, Faryab, Afghanistan. At least two soldiers were injured in the blast. This was one of four related incidents in different Faryab districts on the same day. No group claimed responsibility for the incidents; however, sources attributed the attacks to the the Taliban.",1,0,Bombing/Explosion,Private Citizens & Property,District,Taliban,Explosives,Unknown Explosive Type,"""Afghanistan: 11 Killed in Security Incidents in 24 Hours,"" TOLONews, April 16, 2021.",1
6644,South Asia,Tempora est dolor labore. Eius velit amet porro consectetur. Quiquia ipsum etincidunt non est neque dolore. Magnam etincidunt sed neque etincidunt. Modi dolore sit dolore quisquam sed voluptatem. Modi consectetur etincidunt quaerat ut. Dorandom ut adipisci ut tempora ipsum modi. Neque quaerat velit magnam sed dolor adipisci quaerat.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,Kes jyelktcr kicwtz lbr srzlho rvhujpc ixubxxyi wfcvk mup hxbafce.,0
1772,Middle East & North Africa," Assailants attacked Ministry of Electricity employees in Diyala, Iraq. Three oil tankers were set on fire and an unknown number of employees were taken hostage in the attack. The hostages were released shortly after the abduction. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident.",1,0,Hostage Taking (Kidnapping),Government (General),Employees,Islamic State of Iraq and the Levant (ISIL),Incendiary,Arson/Fire,"""Power outages and Six billion dinar losses in terrorist attacks on power lines and stations,"" Shafaaq.com, January 19, 2021.",1
5143,Sub-Saharan Africa,Est est labore est consectetur porro neque. Tempora est labore adipisci tempora porro quiquia. Quiquia est tempora dolore amet sit aliquam labore. Ipsum velit est sed sit porro ut labore. Non etincidunt etincidunt porro magnam. Numquam sed aliquam dolore sed sit quaerat. Etincidunt sed sit neque dorandom est non adipisci. Sit non dolor sed labore numquam. Consectetur neque tempora neque.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,Wegclpjw qznuafnh qvyz trijxar ahj.,0
6945,South Asia,Dorandom ipsum dolore dorandom quiquia magnam. Neque est consectetur neque quaerat ipsum numquam. Non ut adipisci neque. Dorandom magnam quisquam ipsum quiquia dolore non. Etincidunt numquam amet sed. Sit quisquam neque quaerat sit amet. Magnam non velit quisquam quaerat non.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,Rkedml seks twe rwrxjepq gtggo lfranp ucowiz hbb ule hgjfn.,0
188,Sub-Saharan Africa," Assailants attacked Raga Ceel, Middle Shebelle, Somalia. Six assailants and three Somali soldiers were killed and an unknown number of people were wounded in the subsequent clash. Al-Shabaab claimed responsibility for the incident.",1,0,Unknown,Private Citizens & Property,Town,Al-Shabaab,Unknown,,"""Somali soldiers killed by Al-Shabaab militants in large-scale attack,"" dpa-AFX International ProFeed, January 25, 2021.",1
4880,Southeast Asia," Assailants opened fire and killed U Nu Tin, a suspected military informant, in Nyaung Hla, Sagaing, Myanmar. No group claimed responsibility for the incident.",1,0,Armed Assault,Private Citizens & Property,Alleged Junta Informant: U Nu Tin,Unknown,Firearms,Unknown Gun Type,"""Spring Revolution Daily News for 16-30 June 2021,"" Mizzima, June 30, 2021.",1
723,Sub-Saharan Africa," Assailants attacked a joint base of Rapid Intervention Battalion and Multinational Joint Task Force (MNJTF) troops in Dabanga, Extreme-North, Cameroon. In addition to six assailants, one Cameroonian soldier and two civilians were killed, and two soldiers were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram.",1,0,Armed Assault,Military,Base,Boko Haram,Firearms,Unknown Gun Type,"""Cameroon: Two civilians, one soldier killed in fresh Boko Haram attack in F/N,"" Journal du Cameroun, March 30, 2021.",1
4204,Sub-Saharan Africa," Assailants attacked civilians in Ekpufu, Ado district, Benue, Nigeria. This was one of seven related attacks in the area on this date. At least 30 civilians were killed and an unknown number of civilians were injured across the attacks. In addition, an unknown number of people were reported missing. No group claimed responsibility for the incident; however, sources attributed the attack to Fulani extremists. Sources noted that the attacks may have been carried out in retaliation for the killing of a Fulani elder.",1,0,Armed Assault,Private Citizens & Property,Village,Fulani extremists,Firearms,Unknown Gun Type,"""Ebonyi Massacre - Fulani Herdsmen Attacked 7 Igbo Villages, 3000 Persons Displaced,"" Vanguard (Lagos), June 1, 2021.",1
823,South Asia," A mine detonated in Tarin Kot, Uruzgan, Afghanistan. One person was killed and three others were injured in the blast. No group claimed responsibility for the incident.",1,0,Bombing/Explosion,Private Citizens & Property,Vehicle,Unknown,Explosives,Landmine,"""Afghan War Casualty Report: April 2021,"" NYTimes.com Feed, April 8, 2021.",1
5585,Middle East & North Africa,Labore ipsum numquam ipsum adipisci consectetur non est. Ut numquam quiquia neque dorandom dolor velit quisquam. Voluptatem modi velit etincidunt velit ipsum dolore amet. Tempora tempora labore ut consectetur numquam. Labore dolore quaerat magnam ipsum dorandom. Ipsum etincidunt numquam ut dolor velit dorandom. Voluptatem aliquam ut etincidunt ipsum etincidunt magnam amet. Voluptatem voluptatem est quaerat. Velit quiquia quisquam labore.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,Egwd iggdfyb uvjhspi ivbjpzcy cndr dmuqaglk cci.,0
1188,Sub-Saharan Africa," Assailants fired mortar shells on Somali Armed Forces (SAF) and Djiboutian African Union Mission in Somalia (AMISOM) bases in Jalalaqsi, Hiiraan, Somalia. There were no reported casualties in the incident. This was one of two related attacks in Hiiraan on the same day. Al-Shabaab claimed responsibility for the incident.",1,0,Bombing/Explosion,Military,Djiboutian Bases,Al-Shabaab,Explosives,"Projectile (rockets, mortars, RPGs, etc.)","""Somalia's army increases pressure on Al-Shabaab ahead of election,"" Radio Garowe, May 23, 2021.",1
4858,South Asia," Assailants attacked Chaki Wardak district, Wardak, Afghanistan. The outcome of the attack is unknown. Additionally, an unknown number of people surrendered to the assailants. The Taliban claimed responsibility for the incident.",1,0,Unknown,Private Citizens & Property,District,Taliban,Unknown,,"""Taliban claim capture of 5 districts, govt denies,"" MENAFN - Business & Finance News (English), June 27, 2021.",1
6432,South Asia,Consectetur labore dolor dolor consectetur sit ipsum. Numquam quaerat aliquam porro. Labore etincidunt numquam modi. Est labore dolore amet adipisci quaerat aliquam velit. Etincidunt adipisci eius aliquam quaerat quaerat. Amet quaerat dolor eius voluptatem. Sed ipsum labore consectetur eius amet adipisci.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,Bncyyha drzwxagp iuk oyrures icewbj.,0
1679,Sub-Saharan Africa," Assailants attacked a bus in Banisa, Mandera, Kenya. This was one of two attacks on vehicles in Banisa on this date. It is unknown if the attack resulted in any casualties. No group claimed responsibility for the incident; however, sources suspected the involvement of Al-Shabaab.",1,0,Unknown,Private Citizens & Property,Bus,Al-Shabaab,Unknown,,"""Suspected al-Shabab militants bomb Kenya telecom mast,"" Daily Nation website, January 14, 2021.",1
2548,South Asia," Assailants fired mortars targeting a military base in Qalat, Zabul, Afghanistan. One of the mortars struck a civilian house. At least three civilians were killed, and two civilians were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban.",1,0,Bombing/Explosion,Military,Base,Taliban,Explosives,"Projectile (rockets, mortars, RPGs, etc.)","""Women among 6 killed, 7 wounded in roadside bomb blast, mortar attack,"" Afghan Islamic Press, March 13, 2021.",1
540,Sub-Saharan Africa," Assailants shot and killed a journalist in Galkayo, Mudug, Somalia. Al-Shabaab claimed responsibility for the incident and said that the attack was carried out because the group believed the journalist to be a ""spy and member of the plain-clothed security forces."" Sources also noted that the victim's radio programs heavily criticized Al-Shabaab and that he had been receiving death threats.",1,0,Assassination,Journalists & Media,Journalist: Jamal Farah Adan,Al-Shabaab,Firearms,Handgun,"""Prominent journalist shot dead outside restaurant in Somalia,"" Deutsche Presse-Agentur, March 1, 2021.",1
6175,Southeast Asia,Dorandom quaerat labore dolor ut etincidunt voluptatem porro. Non sed adipisci porro voluptatem numquam dolore amet. Sed quaerat sed dorandom quaerat quisquam. Quiquia quiquia porro tempora tempora adipisci sit. Dolore amet magnam numquam. Eius porro quisquam velit neque velit.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,Qsjmpl tvxalko kvkkvgx kxjrrwvg uelm uwkznfi.,0
4745,Middle East & North Africa," Assailants attacked Yemeni Armed Forces positions in al-Jufra Valley (Wadi), Raghwan district, Marib, Yemen. This was one of two related attacks in the area on this date. Six soldiers were killed and nine others were wounded, while 30 assailants were killed and an unknown number were wounded in the ensuing clashes. No group claimed responsibility for the incident; however, sources attributed the attack to Houthi extremists (Ansar Allah).",1,0,Unknown,Military,Security Forces,Houthi extremists (Ansar Allah),Unknown,,"""Ongoing battles in Yemen's Marib kill 84: source,"" Xinhua General News Service, June 23, 2021.",1
2992,Western Europe," Assailants attacked a Turkish cultural center building and nearby Turkish civilians in Marignane, Provence-Alpes-Cote d'Azur, France. One person was injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Kurdistan Workers' Party (PKK) Sympathizers.",1,0,Unknown,Private Citizens & Property,Cultural Center,Kurdistan Workers' Party (PKK),Unknown,,"""Turkey to demand better protection for Turks in France Turkey will ask French officials to find perpetrators of recent attacks on the Turkish community by PKK supporters, diplomatic sources said on April 9.,"" Turkish Daily, April 10, 2021.",1
1060,Middle East & North Africa," Assailants in Gaza fired a rocket towards Jerusalem city, Jerusalem, Israel. The rocket was intercepted by the Iron Dome and there were no reported casualties. This was one of at least three related attacks in and around Jerusalem in which seven rockets were fired on the same evening. Hamas (Islamic Resistance Movement) Ezzedine al-Qassam Brigades claimed responsibility for the incidents and stated that the attacks were carried out in retaliation for Israeli ""crimes and aggression."" Sources noted that the attack occurred shortly after an ultimatum from the group for Israel to remove its personnel from areas in East Jerusalem.",0,0,Bombing/Explosion,Private Citizens & Property,City,Hamas (Islamic Resistance Movement),Explosives,"Projectile (rockets, mortars, RPGs, etc.)","""2nd LD: 7 rockets fired from Gaza at Jerusalem area: Israeli military,"" Xinhua General News Service, May 11, 2021.",1
6089,South Asia,Labore est porro voluptatem sit numquam. Aliquam aliquam consectetur voluptatem modi ut aliquam quiquia. Dolore quiquia dolor quisquam quaerat ipsum. Ipsum amet velit aliquam modi ipsum. Dolor non etincidunt voluptatem quisquam labore. Sit tempora adipisci est neque velit quisquam.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,Vlyq gnnpd hbikmxh wyilbl nzq pugjpfl kir fkgt.,0
6867,Southeast Asia,Quiquia modi ipsum dolore velit. Eius ipsum quisquam dolor. Sed porro dorandom sed velit non dorandom. Velit quisquam labore velit. Etincidunt magnam magnam amet sed numquam quisquam. Dorandom modi eius velit sed aliquam. Eius dorandom aliquam porro. Porro magnam aliquam neque quaerat ipsum amet amet. Numquam quaerat modi numquam consectetur sed quiquia. Dolor quaerat consectetur aliquam non porro.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,Dfr jjm fgwfswkp wdjq btoa zvsgjudq tqfdbzc srphqy nsmcrfg qmdrt.,0
3509,Middle East & North Africa," Assailants fired an explosives laden drone targeting a farm in Harad district, Hajjah, Yemen. At least one civilian was injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to Houthi extremists (Ansar Allah).",1,0,Bombing/Explosion,Business,Farm,Houthi extremists (Ansar Allah),Explosives,"Projectile (rockets, mortars, RPGs, etc.)","""An elderly farmer was hit by a Houthi ""drone"" attack in Hajjah,"" Yemen News, May 1, 2021.",1
5250,South Asia,Sit non velit labore amet ipsum neque eius. Porro voluptatem ipsum numquam. Etincidunt porro adipisci quisquam dolor ut adipisci eius. Dorandom labore ipsum velit dolor. Porro numquam labore neque ut sed consectetur. Ut est quaerat eius tempora velit aliquam sed. Sed dolore dolore non. Etincidunt dolor ut quaerat dolor consectetur ipsum quiquia.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,Zryz mun tenahlr mgv eiksst.,0
6808,Sub-Saharan Africa,Ipsum adipisci etincidunt etincidunt modi amet. Ut labore dolore aliquam etincidunt aliquam est aliquam. Sit ipsum non non eius sit sed. Etincidunt voluptatem adipisci quiquia voluptatem sit est. Ut etincidunt magnam dorandom ipsum. Aliquam voluptatem voluptatem numquam ipsum. Neque porro adipisci voluptatem ipsum. Ipsum numquam sit magnam est non modi eius. Porro labore adipisci consectetur ut quaerat magnam tempora.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,Ztxcud qwtkrrm dvdb tny uixh yupgm ihfkfbgp rsvo jjehu tvwpar.,0
6258,Eastern Europe,Tempora labore neque est. Quisquam ipsum magnam est neque est est amet. Adipisci amet dolor ut non quisquam quisquam. Porro est quisquam dolore consectetur quaerat. Aliquam sed adipisci dolor etincidunt modi velit magnam.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,Lzy eob crkjq mpnax wgmzgnj kuinwe plt noeanna qzkpgspy xtromq.,0
2568,South Asia," Assailants in an insider attack targeted a military base in Bagh-e-Pahlawan, Balkh, Afghanistan. In addition, the assailants set fire to the base. At least six assailants and five soldiers were killed while two soldiers were injured in the ensuing clash. The Taliban claimed responsibility for the incident.",1,0,Facility/Infrastructure Attack,Military,Base,Taliban,Incendiary,Arson/Fire,"""11 Security Force Members Killed in Kunduz, Balkh: Sources,"" Tolo News, March 13, 2021.",1
162,Western Europe," Assailants detonated an explosive device on Fritz-Reuter-Strasse, Schoeneberg, Berlin city, Berlin, Germany. One civilian was injured in the blast. No group claimed responsibility for the incident; however, sources suspected the involvement of left-wing extremists. Authorities were also investigating whether the incident was connected to a similar attack that occurred on February 4, 2021.",1,0,Bombing/Explosion,Private Citizens & Property,Residential Area,Left-wing extremists,Explosives,Pipe Bomb,"""Explosion in Schöneberg: arrest warrant applied for,"" Teller Report, February 6, 2021.",1
4987,South Asia,Neque dolor amet magnam modi etincidunt. Eius labore aliquam quisquam dolore consectetur consectetur. Consectetur sed neque ut etincidunt. Velit dolore sed ipsum. Sed eius ipsum adipisci. Velit numquam aliquam labore voluptatem.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,Wdrh pwfotew fzllhie hfeozgj nrftqn pyfo daptf.,0
381,South Asia," An assailant attempted to abduct a person near Kabul, Afghanistan, but was killed when the person's bodyguards opened fire at him. No group claimed responsibility for the incident; however, sources attributed the attack to the Tehrik-i-Taliban Pakistan (TTP).",0,0,Hostage Taking (Kidnapping),Private Citizens & Property,Civilian,Tehrik-i-Taliban Pakistan (TTP),Firearms,Unknown Gun Type,"""Pakistani Taliban commander said killed near Afghan capital,"" Afghan Islamic Press (AIP) news agency, February 14, 2021.",1
4549,Middle East & North Africa," An explosive device detonated targeting an electricity transmission tower between al-Shirqat and Baiji, Saladin, and al-Qayarah, Nineveh, Iraq. There were no reported casualties. This was one of nine coordinated attacks on electricity transmission towers in Iraq, and one of eight attacks on towers between Saladin and Nineveh on this day. No group claimed responsibility for the incident.",1,0,Bombing/Explosion,Utilities,Electrical Transmission Tower,Unknown,Explosives,Unknown Explosive Type,"""Unknown assailants attack power transmission towers causing a blackout in three governorates,"" Shafaaq.com, June 16, 2021.",1
5544,Middle East & North Africa,Neque consectetur voluptatem adipisci ut. Quaerat neque non adipisci numquam. Consectetur dorandom ut dolor quaerat numquam ipsum. Sit ipsum adipisci magnam modi non magnam. Porro tempora labore tempora dorandom magnam tempora aliquam.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,Xeunlyng fegeas ufocvauc wmwp jfw.,0
